Input File; Weighting; Batch No.; Iteration No.; Total Iterations; Start Time; Layout No.; Layout Type; Entropy; Available Length; Container Dimensions; Max Weight (kg); Elapsed Time; No. of Stacks; Layout Filename; Time Interval (s)
input_c060_004_t024_20160321_124742.txt; 0; batch_16-03-21_12.50.24; 1; 1; 21/03/2016 12:50:25; 1; entropy; 22.2113274350697; 508; 1203x235x210; 25999; 00:00:00.19; 13; 1_12.50.25_entropy.png; 600
input_c060_004_t024_20160321_124742.txt; 0; batch_16-03-21_12.50.24; 1; 1; 21/03/2016 12:50:25; 1; length; 22.2113274350697; 508; 1203x235x210; 25999; 00:00:00.31; 13; 1_12.50.25_length.png; 600
input_c060_004_t024_20160321_124742.txt; 0; batch_16-03-21_12.50.24; 1; 1; 21/03/2016 12:50:25; 2; entropy; 21.6851481763213; 541; 1203x235x210; 25999; 00:00:00.38; 13; 2_12.50.25_entropy.png; 600
input_c060_004_t024_20160321_124742.txt; 0; batch_16-03-21_12.50.24; 1; 1; 21/03/2016 12:50:25; 2; length; 21.6851481763213; 541; 1203x235x210; 25999; 00:00:00.45; 13; 2_12.50.25_length.png; 600
input_c060_004_t024_20160321_124742.txt; 0; batch_16-03-21_12.50.24; 1; 1; 21/03/2016 12:50:25; 6; length; 22.3447738789381; 582; 1203x235x210; 25999; 00:00:00.53; 13; 6_12.50.25_length.png; 600
input_c060_004_t024_20160321_124742.txt; 0; batch_16-03-21_12.50.24; 1; 1; 21/03/2016 12:50:25; 7; entropy; 21.174211764564; 482; 1203x235x210; 25999; 00:00:00.60; 13; 7_12.50.25_entropy.png; 600
input_c060_004_t024_20160321_124742.txt; 0; batch_16-03-21_12.50.24; 1; 1; 21/03/2016 12:50:25; 9; entropy; 19.7973635320843; 562; 1203x235x210; 25999; 00:00:00.67; 13; 9_12.50.25_entropy.png; 600
input_c060_004_t024_20160321_124742.txt; 0; batch_16-03-21_12.50.24; 1; 1; 21/03/2016 12:50:25; 11; length; 21.0186859753336; 596; 1203x235x210; 25999; 00:00:00.75; 13; 11_12.50.25_length.png; 600
input_c060_004_t024_20160321_124742.txt; 0; batch_16-03-21_12.50.24; 1; 1; 21/03/2016 12:50:25; 12; length; 21.151183188923; 611; 1203x235x210; 25999; 00:00:00.83; 13; 12_12.50.25_length.png; 600
input_c060_004_t024_20160321_124742.txt; 0; batch_16-03-21_12.50.24; 1; 1; 21/03/2016 12:50:25; 18; entropy; 19.6510296022595; 438; 1203x235x210; 25999; 00:00:00.90; 13; 18_12.50.25_entropy.png; 600
input_c060_004_t024_20160321_124742.txt; 0; batch_16-03-21_12.50.24; 1; 1; 21/03/2016 12:50:25; 24; entropy; 19.1673366044236; 587; 1203x235x210; 25999; 00:00:00.98; 13; 24_12.50.25_entropy.png; 600
input_c060_004_t024_20160321_124742.txt; 0; batch_16-03-21_12.50.24; 1; 1; 21/03/2016 12:50:25; 46; entropy; 19.124439283221; 513; 1203x235x210; 25999; 00:00:01.07; 13; 46_12.50.25_entropy.png; 600
input_c060_004_t024_20160321_124742.txt; 0; batch_16-03-21_12.50.24; 1; 1; 21/03/2016 12:50:26; 47; entropy; 18.3858818841283; 477; 1203x235x210; 25999; 00:00:01.13; 13; 47_12.50.25_entropy.png; 600
input_c060_004_t024_20160321_124742.txt; 0; batch_16-03-21_12.50.24; 1; 1; 21/03/2016 12:50:26; 48; entropy; 18.0101563322749; 478; 1203x235x210; 25999; 00:00:01.21; 13; 48_12.50.26_entropy.png; 600
input_c060_004_t024_20160321_124742.txt; 0; batch_16-03-21_12.50.24; 1; 1; 21/03/2016 12:50:26; 57; length; 21.2749681241731; 627; 1203x235x210; 25999; 00:00:01.29; 13; 57_12.50.26_length.png; 600
input_c060_004_t024_20160321_124742.txt; 0; batch_16-03-21_12.50.24; 1; 1; 21/03/2016 12:50:26; 66; length; 20.2929292522742; 658; 1203x235x210; 25999; 00:00:01.36; 13; 66_12.50.26_length.png; 600
input_c060_004_t024_20160321_124742.txt; 0; batch_16-03-21_12.50.24; 1; 1; 21/03/2016 12:50:26; 116; length; 20.3493079309949; 696; 1203x235x210; 25999; 00:00:01.48; 13; 116_12.50.26_length.png; 600
input_c060_004_t024_20160321_124742.txt; 0; batch_16-03-21_12.50.24; 1; 1; 21/03/2016 12:50:26; 132; entropy; 17.8696655359089; 528; 1203x235x210; 25999; 00:00:01.57; 13; 132_12.50.26_entropy.png; 600
input_c060_004_t024_20160321_124742.txt; 0; batch_16-03-21_12.50.24; 1; 1; 21/03/2016 12:50:26; 194; entropy; 17.8671546554525; 567; 1203x235x210; 25999; 00:00:01.69; 13; 194_12.50.26_entropy.png; 600
input_c060_004_t024_20160321_124742.txt; 0; batch_16-03-21_12.50.24; 1; 1; 21/03/2016 12:50:26; 226; length; 19.1888951874274; 730; 1203x235x210; 25999; 00:00:01.79; 13; 226_12.50.26_length.png; 600
input_c060_004_t024_20160321_124742.txt; 0; batch_16-03-21_12.50.24; 1; 1; 21/03/2016 12:50:26; 274; entropy; 17.7818632810779; 427; 1203x235x210; 25999; 00:00:01.92; 13; 274_12.50.26_entropy.png; 600
input_c060_004_t024_20160321_124742.txt; 0; batch_16-03-21_12.50.24; 1; 1; 21/03/2016 12:50:26; 298; entropy; 17.5430655547916; 321; 1203x235x210; 25999; 00:00:02.01; 13; 298_12.50.26_entropy.png; 600
input_c060_004_t024_20160321_124742.txt; 0; batch_16-03-21_12.50.24; 1; 1; 21/03/2016 12:50:27; 393; entropy; 16.8603482501198; 520; 1203x235x210; 25999; 00:00:02.17; 13; 393_12.50.27_entropy.png; 600
input_c060_004_t024_20160321_124742.txt; 0; batch_16-03-21_12.50.24; 1; 1; 21/03/2016 12:50:27; 695; entropy; 16.6104557509228; 591; 1203x235x210; 25999; 00:00:02.51; 13; 695_12.50.27_entropy.png; 600
input_c060_004_t024_20160321_124742.txt; 0; batch_16-03-21_12.50.24; 1; 1; 21/03/2016 12:50:28; 1460; entropy; 16.4070511336952; 441; 1203x235x210; 25999; 00:00:03.22; 13; 1460_12.50.28_entropy.png; 600
input_c060_004_t024_20160321_124742.txt; 0; batch_16-03-21_12.50.24; 1; 1; 21/03/2016 12:50:28; 1655; entropy; 16.3564207156872; 468; 1203x235x210; 25999; 00:00:03.44; 13; 1655_12.50.28_entropy.png; 600
input_c060_004_t024_20160321_124742.txt; 0; batch_16-03-21_12.50.24; 1; 1; 21/03/2016 12:50:28; 1726; entropy; 16.1426056452187; 435; 1203x235x210; 25999; 00:00:03.57; 13; 1726_12.50.28_entropy.png; 600
input_c060_004_t024_20160321_124742.txt; 0; batch_16-03-21_12.50.24; 1; 1; 21/03/2016 12:50:28; 2169; entropy; 15.9729718078213; 521; 1203x235x210; 25999; 00:00:04.00; 13; 2169_12.50.28_entropy.png; 600
input_c060_004_t024_20160321_124742.txt; 0; batch_16-03-21_12.50.24; 1; 1; 21/03/2016 12:50:29; 2592; entropy; 15.3356899247656; 611; 1203x235x210; 25999; 00:00:04.39; 13; 2592_12.50.29_entropy.png; 600
input_c060_004_t024_20160321_124742.txt; 0; batch_16-03-21_12.50.24; 1; 1; 21/03/2016 12:50:30; 3852; length; 20.5550661852791; 735; 1203x235x210; 25999; 00:00:05.45; 13; 3852_12.50.30_length.png; 600
input_c060_004_t024_20160321_124742.txt; 0; batch_16-03-21_12.50.24; 1; 1; 21/03/2016 12:50:30; 3896; entropy; 14.5261421689715; 600; 1203x235x210; 25999; 00:00:05.55; 13; 3896_12.50.30_entropy.png; 600
input_c060_004_t024_20160321_124742.txt; 0; batch_16-03-21_12.50.24; 1; 1; 21/03/2016 12:50:32; 6192; length; 18.3740917948349; 735; 1203x235x210; 25999; 00:00:07.47; 13; 6192_12.50.32_length.png; 600
input_c060_004_t024_20160321_124742.txt; 0; batch_16-03-21_12.50.24; 1; 1; 21/03/2016 12:50:42; 17522; entropy; 13.8678765201311; 595; 1203x235x210; 25999; 00:00:17.22; 13; 17522_12.50.42_entropy.png; 600
input_c060_004_t024_20160321_124742.txt; 0; batch_16-03-21_12.50.24; 1; 1; 21/03/2016 12:51:37; 79351; length; 19.8351477080629; 736; 1203x235x210; 25999; 00:01:12.48; 13; 79351_12.51.37_length.png; 600
input_c060_004_t024_20160321_124742.txt; 0; batch_16-03-21_12.50.24; 1; 1; 21/03/2016 12:51:44; 87013; entropy; 13.451180144205; 616; 1203x235x210; 25999; 00:01:19.47; 13; 87013_12.51.44_entropy.png; 600
input_c060_004_t024_20160321_124742.txt; 0; batch_16-03-21_12.50.24; 1; 1; 21/03/2016 12:53:05; 175160; length; 18.5741332979447; 736; 1203x235x210; 25999; 00:02:41.04; 13; 175160_12.53.05_length.png; 600
input_c060_004_t024_20160321_124742.txt; 0; batch_16-03-21_12.50.24; 1; 1; 21/03/2016 12:53:31; 201891; length; 18.3060996546912; 736; 1203x235x210; 25999; 00:03:06.32; 13; 201891_12.53.31_length.png; 600
input_c060_004_t024_20160321_124742.txt; 0; batch_16-03-21_12.50.24; 1; 1; 21/03/2016 12:54:30; 262805; entropy; 13.4476078005233; 510; 1203x235x210; 25999; 00:04:05.11; 13; 262805_12.54.29_entropy.png; 600
input_c060_004_t024_20160321_124742.txt; 0; batch_16-03-21_12.50.24; 1; 1; 21/03/2016 12:55:31; 324077; length; 17.4519983970064; 736; 1203x235x210; 25999; 00:05:06.66; 13; 324077_12.55.31_length.png; 600
input_c060_004_t024_20160321_124742.txt; 0; batch_16-03-21_12.50.24; 1; 1; 21/03/2016 12:56:16; 364360; length; 18.1172143950617; 738; 1203x235x210; 25999; 00:05:51.23; 13; 364360_12.56.16_length.png; 600
input_c060_004_t024_20160321_124742.txt; 0; batch_16-03-21_12.50.24; 1; 1; 21/03/2016 12:56:41; 386906; length; 22.1147169685351; 741; 1203x235x210; 25999; 00:06:16.78; 13; 386906_12.56.41_length.png; 600
input_c060_004_t024_20160321_124742.txt; 0.5; batch_16-03-21_13.00.24; 1; 1; 21/03/2016 13:00:25; 1; entropy; 16.6247562714142; 451; 1203x235x210; 25999; 00:00:00.34; 13; 1_13.00.25_entropy.png; 600
input_c060_004_t024_20160321_124742.txt; 0.5; batch_16-03-21_13.00.24; 1; 1; 21/03/2016 13:00:25; 1; length; 16.6247562714142; 451; 1203x235x210; 25999; 00:00:00.50; 13; 1_13.00.25_length.png; 600
input_c060_004_t024_20160321_124742.txt; 0.5; batch_16-03-21_13.00.24; 1; 1; 21/03/2016 13:00:25; 5; entropy; 16.230330049361; 505; 1203x235x210; 25999; 00:00:00.66; 13; 5_13.00.25_entropy.png; 600
input_c060_004_t024_20160321_124742.txt; 0.5; batch_16-03-21_13.00.24; 1; 1; 21/03/2016 13:00:25; 5; length; 16.230330049361; 505; 1203x235x210; 25999; 00:00:00.78; 13; 5_13.00.25_length.png; 600
input_c060_004_t024_20160321_124742.txt; 0.5; batch_16-03-21_13.00.24; 1; 1; 21/03/2016 13:00:26; 12; length; 17.1159411226497; 525; 1203x235x210; 25999; 00:00:00.99; 13; 12_13.00.26_length.png; 600
input_c060_004_t024_20160321_124742.txt; 0.5; batch_16-03-21_13.00.24; 1; 1; 21/03/2016 13:00:26; 14; length; 18.0809285375202; 581; 1203x235x210; 25999; 00:00:01.13; 13; 14_13.00.26_length.png; 600
input_c060_004_t024_20160321_124742.txt; 0.5; batch_16-03-21_13.00.24; 1; 1; 21/03/2016 13:00:26; 22; length; 20.8805990100392; 655; 1203x235x210; 25999; 00:00:01.34; 13; 22_13.00.26_length.png; 600
input_c060_004_t024_20160321_124742.txt; 0.5; batch_16-03-21_13.00.24; 1; 1; 21/03/2016 13:00:26; 44; entropy; 15.152904958768; 691; 1203x235x210; 25999; 00:00:01.77; 13; 44_13.00.26_entropy.png; 600
input_c060_004_t024_20160321_124742.txt; 0.5; batch_16-03-21_13.00.24; 1; 1; 21/03/2016 13:00:27; 44; length; 15.152904958768; 691; 1203x235x210; 25999; 00:00:01.89; 13; 44_13.00.26_length.png; 600
input_c060_004_t024_20160321_124742.txt; 0.5; batch_16-03-21_13.00.24; 1; 1; 21/03/2016 13:00:30; 268; entropy; 15.0242627257733; 676; 1203x235x210; 25999; 00:00:04.85; 13; 268_13.00.29_entropy.png; 600
input_c060_004_t024_20160321_124742.txt; 0.5; batch_16-03-21_13.00.24; 1; 1; 21/03/2016 13:00:30; 276; entropy; 14.5716331512141; 611; 1203x235x210; 25999; 00:00:05.07; 13; 276_13.00.30_entropy.png; 600
input_c060_004_t024_20160321_124742.txt; 0.5; batch_16-03-21_13.00.24; 1; 1; 21/03/2016 13:00:39; 1068; entropy; 14.1793414779393; 601; 1203x235x210; 25999; 00:00:14.68; 13; 1068_13.00.39_entropy.png; 600
input_c060_004_t024_20160321_124742.txt; 0.5; batch_16-03-21_13.00.24; 1; 1; 21/03/2016 13:00:41; 1196; length; 21.0196495347571; 697; 1203x235x210; 25999; 00:00:16.23; 13; 1196_13.00.41_length.png; 600
input_c060_004_t024_20160321_124742.txt; 0.5; batch_16-03-21_13.00.24; 1; 1; 21/03/2016 13:00:44; 1477; length; 19.0058031394551; 697; 1203x235x210; 25999; 00:00:19.54; 13; 1477_13.00.44_length.png; 600
input_c060_004_t024_20160321_124742.txt; 0.5; batch_16-03-21_13.00.24; 1; 1; 21/03/2016 13:00:47; 1721; length; 18.7191343251259; 702; 1203x235x210; 25999; 00:00:22.43; 13; 1721_13.00.47_length.png; 600
input_c060_004_t024_20160321_124742.txt; 0.5; batch_16-03-21_13.00.24; 1; 1; 21/03/2016 13:00:55; 2436; length; 16.3382841715011; 703; 1203x235x210; 25999; 00:00:30.60; 13; 2436_13.00.55_length.png; 600
input_c060_004_t024_20160321_124742.txt; 0.5; batch_16-03-21_13.00.24; 1; 1; 21/03/2016 13:01:13; 3980; length; 18.8158410907917; 725; 1203x235x210; 25999; 00:00:48.06; 13; 3980_13.01.13_length.png; 600
input_c060_004_t024_20160321_124742.txt; 0.5; batch_16-03-21_13.00.24; 1; 1; 21/03/2016 13:01:22; 4744; length; 16.7612234521008; 730; 1203x235x210; 25999; 00:00:56.93; 13; 4744_13.01.21_length.png; 600
input_c060_004_t024_20160321_124742.txt; 0.5; batch_16-03-21_13.00.24; 1; 1; 21/03/2016 13:01:38; 6144; entropy; 13.765818756361; 675; 1203x235x210; 25999; 00:01:12.85; 13; 6144_13.01.37_entropy.png; 600
input_c060_004_t024_20160321_124742.txt; 0.5; batch_16-03-21_13.00.24; 1; 1; 21/03/2016 13:01:40; 6354; entropy; 13.4311251260973; 370; 1203x235x210; 25999; 00:01:15.34; 13; 6354_13.01.40_entropy.png; 600
input_c060_004_t024_20160321_124742.txt; 0.5; batch_16-03-21_13.00.24; 1; 1; 21/03/2016 13:01:51; 7290; length; 16.3516993574755; 730; 1203x235x210; 25999; 00:01:26.16; 13; 7290_13.01.51_length.png; 600
input_c060_004_t024_20160321_124742.txt; 0.5; batch_16-03-21_13.00.24; 1; 1; 21/03/2016 13:01:56; 7695; entropy; 12.8578819781577; 520; 1203x235x210; 25999; 00:01:30.91; 13; 7695_13.01.55_entropy.png; 600
input_c060_004_t024_20160321_124742.txt; 0.5; batch_16-03-21_13.00.24; 1; 1; 21/03/2016 13:02:00; 8091; length; 18.5506210467597; 735; 1203x235x210; 25999; 00:01:35.62; 13; 8091_13.02.00_length.png; 600
input_c060_004_t024_20160321_124742.txt; 0.5; batch_16-03-21_13.00.24; 1; 1; 21/03/2016 13:03:56; 18224; length; 16.9494318558771; 740; 1203x235x210; 25999; 00:03:30.88; 13; 18224_13.03.55_length.png; 600
input_c060_004_t024_20160321_124742.txt; 0.5; batch_16-03-21_13.00.24; 1; 1; 21/03/2016 13:08:19; 41190; entropy; 12.6094703095348; 510; 1203x235x210; 25999; 00:07:54.45; 13; 41190_13.08.19_entropy.png; 600
input_c060_004_t024_20160321_124742.txt; 0.9; batch_16-03-21_13.10.25; 1; 1; 21/03/2016 13:10:25; 1; entropy; 16.2420413380871; 665; 1203x235x210; 25999; 00:00:00.35; 13; 1_13.10.25_entropy.png; 600
input_c060_004_t024_20160321_124742.txt; 0.9; batch_16-03-21_13.10.25; 1; 1; 21/03/2016 13:10:25; 1; length; 16.2420413380871; 665; 1203x235x210; 25999; 00:00:00.53; 13; 1_13.10.25_length.png; 600
input_c060_004_t024_20160321_124742.txt; 0.9; batch_16-03-21_13.10.25; 1; 1; 21/03/2016 13:10:26; 2; entropy; 16.0532790058705; 525; 1203x235x210; 25999; 00:00:00.68; 13; 2_13.10.25_entropy.png; 600
input_c060_004_t024_20160321_124742.txt; 0.9; batch_16-03-21_13.10.25; 1; 1; 21/03/2016 13:10:26; 4; entropy; 14.9902370007515; 618; 1203x235x210; 25999; 00:00:00.84; 13; 4_13.10.26_entropy.png; 600
input_c060_004_t024_20160321_124742.txt; 0.9; batch_16-03-21_13.10.25; 1; 1; 21/03/2016 13:10:26; 8; entropy; 14.5461003488986; 607; 1203x235x210; 25999; 00:00:01.02; 13; 8_13.10.26_entropy.png; 600
input_c060_004_t024_20160321_124742.txt; 0.9; batch_16-03-21_13.10.25; 1; 1; 21/03/2016 13:10:26; 11; length; 15.7279208625871; 698; 1203x235x210; 25999; 00:00:01.18; 13; 11_13.10.26_length.png; 600
input_c060_004_t024_20160321_124742.txt; 0.9; batch_16-03-21_13.10.25; 1; 1; 21/03/2016 13:10:26; 16; entropy; 13.1113673025565; 675; 1203x235x210; 25999; 00:00:01.38; 13; 16_13.10.26_entropy.png; 600
input_c060_004_t024_20160321_124742.txt; 0.9; batch_16-03-21_13.10.25; 1; 1; 21/03/2016 13:10:27; 43; length; 14.4820955610219; 698; 1203x235x210; 25999; 00:00:01.83; 13; 43_13.10.27_length.png; 600
input_c060_004_t024_20160321_124742.txt; 0.9; batch_16-03-21_13.10.25; 1; 1; 21/03/2016 13:10:27; 44; entropy; 12.6094703095348; 708; 1203x235x210; 25999; 00:00:01.97; 13; 44_13.10.27_entropy.png; 600
input_c060_004_t024_20160321_124742.txt; 0.9; batch_16-03-21_13.10.25; 1; 1; 21/03/2016 13:10:27; 44; length; 12.6094703095348; 708; 1203x235x210; 25999; 00:00:02.10; 13; 44_13.10.27_length.png; 600
