Input File; Weighting; Batch No.; Iteration No.; Total Iterations; Start Time; Layout No.; Layout Type; Entropy; Available Length; Container Dimensions; Max Weight (kg); Elapsed Time; No. of Stacks; Layout Filename; Time Interval (s)
input_c060_001_t026_20160321_124742.txt; 0; batch_16-03-21_12.50.23; 1; 1; 21/03/2016 12:50:23; 1; entropy; 22.2298357356146; 546; 1203x235x210; 25999; 00:00:00.22; 13; 1_12.50.23_entropy.png; 600
input_c060_001_t026_20160321_124742.txt; 0; batch_16-03-21_12.50.23; 1; 1; 21/03/2016 12:50:23; 1; length; 22.2298357356146; 546; 1203x235x210; 25999; 00:00:00.32; 13; 1_12.50.23_length.png; 600
input_c060_001_t026_20160321_124742.txt; 0; batch_16-03-21_12.50.23; 1; 1; 21/03/2016 12:50:23; 4; length; 26.0777007042952; 577; 1203x235x210; 25999; 00:00:00.39; 13; 4_12.50.23_length.png; 600
input_c060_001_t026_20160321_124742.txt; 0; batch_16-03-21_12.50.23; 1; 1; 21/03/2016 12:50:23; 6; length; 24.8483167311241; 588; 1203x235x210; 25999; 00:00:00.47; 13; 6_12.50.23_length.png; 600
input_c060_001_t026_20160321_124742.txt; 0; batch_16-03-21_12.50.23; 1; 1; 21/03/2016 12:50:23; 7; length; 24.0783151688166; 616; 1203x235x210; 25999; 00:00:00.54; 13; 7_12.50.23_length.png; 600
input_c060_001_t026_20160321_124742.txt; 0; batch_16-03-21_12.50.23; 1; 1; 21/03/2016 12:50:24; 17; entropy; 20.891613002317; 621; 1203x235x210; 25999; 00:00:00.62; 13; 17_12.50.24_entropy.png; 600
input_c060_001_t026_20160321_124742.txt; 0; batch_16-03-21_12.50.23; 1; 1; 21/03/2016 12:50:24; 17; length; 20.891613002317; 621; 1203x235x210; 25999; 00:00:00.69; 13; 17_12.50.24_length.png; 600
input_c060_001_t026_20160321_124742.txt; 0; batch_16-03-21_12.50.23; 1; 1; 21/03/2016 12:50:24; 24; entropy; 20.1570187212768; 529; 1203x235x210; 25999; 00:00:00.78; 13; 24_12.50.24_entropy.png; 600
input_c060_001_t026_20160321_124742.txt; 0; batch_16-03-21_12.50.23; 1; 1; 21/03/2016 12:50:24; 85; length; 22.8968396174764; 658; 1203x235x210; 25999; 00:00:00.89; 13; 85_12.50.24_length.png; 600
input_c060_001_t026_20160321_124742.txt; 0; batch_16-03-21_12.50.23; 1; 1; 21/03/2016 12:50:24; 133; entropy; 18.9458910594056; 485; 1203x235x210; 25999; 00:00:01.01; 13; 133_12.50.24_entropy.png; 600
input_c060_001_t026_20160321_124742.txt; 0; batch_16-03-21_12.50.23; 1; 1; 21/03/2016 12:50:24; 235; length; 20.8591232237474; 686; 1203x235x210; 25999; 00:00:01.18; 13; 235_12.50.24_length.png; 600
input_c060_001_t026_20160321_124742.txt; 0; batch_16-03-21_12.50.23; 1; 1; 21/03/2016 12:50:25; 786; entropy; 18.1998098907612; 404; 1203x235x210; 25999; 00:00:01.69; 13; 786_12.50.25_entropy.png; 600
input_c060_001_t026_20160321_124742.txt; 0; batch_16-03-21_12.50.23; 1; 1; 21/03/2016 12:50:25; 852; length; 23.9921792028152; 727; 1203x235x210; 25999; 00:00:01.83; 13; 852_12.50.25_length.png; 600
input_c060_001_t026_20160321_124742.txt; 0; batch_16-03-21_12.50.23; 1; 1; 21/03/2016 12:50:25; 995; length; 23.1023263859418; 729; 1203x235x210; 25999; 00:00:02.01; 13; 995_12.50.25_length.png; 600
input_c060_001_t026_20160321_124742.txt; 0; batch_16-03-21_12.50.23; 1; 1; 21/03/2016 12:50:25; 1051; entropy; 17.6471178548258; 561; 1203x235x210; 25999; 00:00:02.12; 13; 1051_12.50.25_entropy.png; 600
input_c060_001_t026_20160321_124742.txt; 0; batch_16-03-21_12.50.23; 1; 1; 21/03/2016 12:50:26; 2258; entropy; 16.8455068164747; 405; 1203x235x210; 25999; 00:00:03.19; 13; 2258_12.50.26_entropy.png; 600
input_c060_001_t026_20160321_124742.txt; 0; batch_16-03-21_12.50.23; 1; 1; 21/03/2016 12:50:28; 4278; length; 20.0340665441672; 733; 1203x235x210; 25999; 00:00:05.00; 13; 4278_12.50.28_length.png; 600
input_c060_001_t026_20160321_124742.txt; 0; batch_16-03-21_12.50.23; 1; 1; 21/03/2016 12:50:31; 7487; entropy; 16.6865916579699; 653; 1203x235x210; 25999; 00:00:07.69; 13; 7487_12.50.31_entropy.png; 600
input_c060_001_t026_20160321_124742.txt; 0; batch_16-03-21_12.50.23; 1; 1; 21/03/2016 12:50:33; 10528; length; 21.7690431824844; 739; 1203x235x210; 25999; 00:00:10.34; 13; 10528_12.50.33_length.png; 600
input_c060_001_t026_20160321_124742.txt; 0; batch_16-03-21_12.50.23; 1; 1; 21/03/2016 12:50:43; 21597; entropy; 16.6571466783971; 599; 1203x235x210; 25999; 00:00:20.29; 13; 21597_12.50.43_entropy.png; 600
input_c060_001_t026_20160321_124742.txt; 0; batch_16-03-21_12.50.23; 1; 1; 21/03/2016 12:50:47; 25551; entropy; 16.4127349393689; 534; 1203x235x210; 25999; 00:00:23.94; 13; 25551_12.50.47_entropy.png; 600
input_c060_001_t026_20160321_124742.txt; 0; batch_16-03-21_12.50.23; 1; 1; 21/03/2016 12:50:49; 27478; length; 19.6014582362228; 739; 1203x235x210; 25999; 00:00:25.76; 13; 27478_12.50.49_length.png; 600
input_c060_001_t026_20160321_124742.txt; 0; batch_16-03-21_12.50.23; 1; 1; 21/03/2016 12:50:53; 31585; length; 18.1881368534146; 739; 1203x235x210; 25999; 00:00:29.77; 13; 31585_12.50.53_length.png; 600
input_c060_001_t026_20160321_124742.txt; 0; batch_16-03-21_12.50.23; 1; 1; 21/03/2016 12:51:10; 50014; entropy; 16.1583259928859; 410; 1203x235x210; 25999; 00:00:46.88; 13; 50014_12.51.10_entropy.png; 600
input_c060_001_t026_20160321_124742.txt; 0; batch_16-03-21_12.50.23; 1; 1; 21/03/2016 12:51:19; 60139; length; 24.9196549134174; 740; 1203x235x210; 25999; 00:00:56.16; 13; 60139_12.51.19_length.png; 600
input_c060_001_t026_20160321_124742.txt; 0; batch_16-03-21_12.50.23; 1; 1; 21/03/2016 12:51:56; 99422; entropy; 15.4678721399881; 599; 1203x235x210; 25999; 00:01:32.70; 13; 99422_12.51.56_entropy.png; 600
input_c060_001_t026_20160321_124742.txt; 0; batch_16-03-21_12.50.23; 1; 1; 21/03/2016 12:52:03; 107134; entropy; 15.2214274680374; 579; 1203x235x210; 25999; 00:01:40.04; 13; 107134_12.52.03_entropy.png; 600
input_c060_001_t026_20160321_124742.txt; 0; batch_16-03-21_12.50.23; 1; 1; 21/03/2016 12:52:08; 112388; length; 22.0979321098514; 743; 1203x235x210; 25999; 00:01:45.10; 13; 112388_12.52.08_length.png; 600
input_c060_001_t026_20160321_124742.txt; 0; batch_16-03-21_12.50.23; 1; 1; 21/03/2016 12:52:23; 128082; length; 23.4629014191154; 761; 1203x235x210; 25999; 00:02:00.07; 13; 128082_12.52.23_length.png; 600
input_c060_001_t026_20160321_124742.txt; 0; batch_16-03-21_12.50.23; 1; 1; 21/03/2016 12:53:36; 203748; entropy; 15.1228971737553; 384; 1203x235x210; 25999; 00:03:13.07; 13; 203748_12.53.36_entropy.png; 600
input_c060_001_t026_20160321_124742.txt; 0; batch_16-03-21_12.50.23; 1; 1; 21/03/2016 12:55:20; 306727; entropy; 14.6554132200556; 560; 1203x235x210; 25999; 00:04:56.92; 13; 306727_12.55.20_entropy.png; 600
input_c060_001_t026_20160321_124742.txt; 0; batch_16-03-21_12.50.23; 1; 1; 21/03/2016 12:56:44; 380266; entropy; 14.6234382246732; 425; 1203x235x210; 25999; 00:06:20.98; 13; 380266_12.56.44_entropy.png; 600
input_c060_001_t026_20160321_124742.txt; 0; batch_16-03-21_12.50.23; 1; 1; 21/03/2016 12:57:44; 431500; entropy; 14.4117388742535; 664; 1203x235x210; 25999; 00:07:21.45; 13; 431500_12.57.44_entropy.png; 600
input_c060_001_t026_20160321_124742.txt; 0.5; batch_16-03-21_13.00.23; 1; 1; 21/03/2016 13:00:24; 1; entropy; 25.6684442544808; 364; 1203x235x210; 25999; 00:00:00.32; 13; 1_13.00.23_entropy.png; 600
input_c060_001_t026_20160321_124742.txt; 0.5; batch_16-03-21_13.00.23; 1; 1; 21/03/2016 13:00:24; 1; length; 25.6684442544808; 364; 1203x235x210; 25999; 00:00:00.47; 13; 1_13.00.24_length.png; 600
input_c060_001_t026_20160321_124742.txt; 0.5; batch_16-03-21_13.00.23; 1; 1; 21/03/2016 13:00:24; 2; entropy; 22.9791830953851; 346; 1203x235x210; 25999; 00:00:00.59; 13; 2_13.00.24_entropy.png; 600
input_c060_001_t026_20160321_124742.txt; 0.5; batch_16-03-21_13.00.23; 1; 1; 21/03/2016 13:00:24; 3; length; 25.7384580074685; 390; 1203x235x210; 25999; 00:00:00.71; 13; 3_13.00.24_length.png; 600
input_c060_001_t026_20160321_124742.txt; 0.5; batch_16-03-21_13.00.23; 1; 1; 21/03/2016 13:00:24; 4; length; 25.555422879355; 610; 1203x235x210; 25999; 00:00:00.84; 13; 4_13.00.24_length.png; 600
input_c060_001_t026_20160321_124742.txt; 0.5; batch_16-03-21_13.00.23; 1; 1; 21/03/2016 13:00:24; 6; entropy; 22.7692692255053; 495; 1203x235x210; 25999; 00:00:00.99; 13; 6_13.00.24_entropy.png; 600
input_c060_001_t026_20160321_124742.txt; 0.5; batch_16-03-21_13.00.23; 1; 1; 21/03/2016 13:00:24; 8; entropy; 20.3952980711148; 449; 1203x235x210; 25999; 00:00:01.14; 13; 8_13.00.24_entropy.png; 600
input_c060_001_t026_20160321_124742.txt; 0.5; batch_16-03-21_13.00.23; 1; 1; 21/03/2016 13:00:25; 14; length; 20.978854301619; 684; 1203x235x210; 25999; 00:00:01.32; 13; 14_13.00.24_length.png; 600
input_c060_001_t026_20160321_124742.txt; 0.5; batch_16-03-21_13.00.23; 1; 1; 21/03/2016 13:00:25; 18; entropy; 19.7488657530319; 324; 1203x235x210; 25999; 00:00:01.51; 13; 18_13.00.25_entropy.png; 600
input_c060_001_t026_20160321_124742.txt; 0.5; batch_16-03-21_13.00.23; 1; 1; 21/03/2016 13:00:25; 22; entropy; 18.3576959880072; 509; 1203x235x210; 25999; 00:00:01.69; 13; 22_13.00.25_entropy.png; 600
input_c060_001_t026_20160321_124742.txt; 0.5; batch_16-03-21_13.00.23; 1; 1; 21/03/2016 13:00:26; 116; entropy; 15.8919331160139; 610; 1203x235x210; 25999; 00:00:03.16; 13; 116_13.00.26_entropy.png; 600
input_c060_001_t026_20160321_124742.txt; 0.5; batch_16-03-21_13.00.23; 1; 1; 21/03/2016 13:00:27; 143; length; 25.3453793291175; 696; 1203x235x210; 25999; 00:00:03.68; 13; 143_13.00.27_length.png; 600
input_c060_001_t026_20160321_124742.txt; 0.5; batch_16-03-21_13.00.23; 1; 1; 21/03/2016 13:00:34; 622; length; 17.5097213313513; 724; 1203x235x210; 25999; 00:00:10.47; 13; 622_13.00.34_length.png; 600
input_c060_001_t026_20160321_124742.txt; 0.5; batch_16-03-21_13.00.23; 1; 1; 21/03/2016 13:00:34; 654; length; 20.201604120246; 735; 1203x235x210; 25999; 00:00:11.01; 13; 654_13.00.34_length.png; 600
input_c060_001_t026_20160321_124742.txt; 0.5; batch_16-03-21_13.00.23; 1; 1; 21/03/2016 13:00:35; 670; entropy; 15.7179618621232; 374; 1203x235x210; 25999; 00:00:11.35; 13; 670_13.00.34_entropy.png; 600
input_c060_001_t026_20160321_124742.txt; 0.5; batch_16-03-21_13.00.23; 1; 1; 21/03/2016 13:00:38; 944; entropy; 14.2436540219978; 646; 1203x235x210; 25999; 00:00:15.04; 13; 944_13.00.38_entropy.png; 600
input_c060_001_t026_20160321_124742.txt; 0.5; batch_16-03-21_13.00.23; 1; 1; 21/03/2016 13:02:35; 9866; entropy; 13.4174977660932; 529; 1203x235x210; 25999; 00:02:12.17; 13; 9866_13.02.35_entropy.png; 600
input_c060_001_t026_20160321_124742.txt; 0.5; batch_16-03-21_13.00.23; 1; 1; 21/03/2016 13:03:35; 14409; length; 18.4922856806768; 737; 1203x235x210; 25999; 00:03:12.23; 13; 14409_13.03.35_length.png; 600
